"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CM_cdhit-1_host-transcript_208545",3887.34413896963,-28.4315776922309,2.85824798310494,-9.94720467233407,2.5936621756517e-23,6.59905467351063e-19
"CM_cdhit-1_host-transcript_101108",21.709823054532,22.4005578027856,2.98300231467644,7.5094000740711,5.93989384123141e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_102052",19.9868212248072,22.2881890387326,2.97779887006965,7.48478658607704,7.16634919315926e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_102351",33.7708358626053,23.0048391310853,3.01489006166482,7.63040729862702,2.34013188083212e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_102611",25.8450274458714,22.6404347143837,2.99482614458986,7.55984942741453,4.03536220471822e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_102652",20.3314215907522,22.314010618346,2.9788511370136,7.49081091736478,6.84493692286824e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_146585",33.7708358626053,23.0048391310853,3.01489006166482,7.63040729862702,2.34013188083212e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_158381",30.3248322031558,22.8577763391741,3.00662421424198,7.60247197867293,2.90526899349521e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_94734",20.6760219566971,22.3350061555069,2.97989784009627,7.49522545873094,6.61844984501827e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_96626",28.2572300074861,22.7617262031543,3.00136178948683,7.58379955488341,3.35579475031011e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_97269",33.0816351307154,22.973007247814,3.01328515202352,7.62390749258724,2.46109769256378e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_98127",23.4328248842568,22.5076258113859,2.9880481488657,7.53255124751924,4.97583866412253e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_98522",22.7436241523669,22.4639628881206,2.98604976380526,7.52297003231911,5.35457003546689e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_99231",23.0882245183118,22.4842751140703,2.98705250865331,7.52724468315663,5.18222054232267e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_99233",24.4666259820916,22.5498633930161,2.99099450272822,7.53925270422507,4.7267223358937e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_99431",20.6760219566971,22.3350061555069,2.97989784009627,7.49522545873094,6.61844984501827e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_99791",33.7708358626053,23.0048391310853,3.01489006166482,7.63040729862702,2.34013188083212e-14,1.07254954424442e-10
"CM_cdhit-1_host-transcript_256869",15.5767035324049,21.954506803406,2.93631172753286,7.4768991989323,7.6096737536363e-14,1.07562738507649e-10
"CM_cdhit-1_host-transcript_102212",16.8854179313027,22.0610458203603,2.96814089046875,7.43261409564565,1.06472191826326e-13,1.08358879065488e-10
