"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CM_cdhit-1_transcript_364914",557.873012540093,26.55636659471,3.27981513087879,8.09690959246062,5.63729347807914e-16,9.88612157250739e-12
"CM_cdhit-1_transcript_104778",29.1006165806979,22.5387737545703,3.61136798778901,6.24106261969974,4.34608202451748e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_170692",16.4786624011181,21.7665928589503,3.58869713594849,6.06531898189769,1.31692018954932e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_177472",23.1402493292297,22.2269057103743,3.60108685989926,6.17227703055074,6.73134196991878e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_302067",21.0365902992997,22.0951721667455,3.59722388057244,6.1422844116195,8.13430402085054e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_32257",16.4786624011181,21.7665928589503,3.58869713594849,6.06531898189769,1.31692018954932e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_324413",16.4786624011181,21.7665928589503,3.58869713594849,6.06531898189769,1.31692018954932e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_324587",27.3475673890896,22.4546687867359,3.60845578189746,6.22279172697203,4.88385521220473e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_324606",18.5823214310481,21.9303151538715,3.59262538289166,6.1042588125957,1.03278816993619e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_324647",17.1798820777614,21.8199879345716,3.58999665161637,6.0779967370575,1.21693231048102e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_324652",28.048787065733,22.4887683753537,3.60963206048177,6.23021072467763,4.65808191052243e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_324718",29.1006165806979,22.5387737545703,3.61136798778901,6.24106261969974,4.34608202451748e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_324772",20.3353706226564,22.0493060342169,3.59591661263628,6.13176233195571,8.6910876139184e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_324787",29.4512264190196,22.5550419167352,3.61193904880321,6.24457988132679,4.24940717239287e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_324879",18.5823214310481,21.9303151538715,3.59262538289166,6.1042588125957,1.03278816993619e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_325166",17.8811017544048,21.8694684687514,3.5913080266777,6.08955520002631,1.13224821441874e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_325468",22.0884198142647,22.1619022237219,3.59916783746386,6.15750729739189,7.38988393318806e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_325521",24.893298520838,22.3269505315215,3.60422029833606,6.19466866157685,5.84077671689842e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_325635",20.3353706226564,22.0493060342169,3.59591661263628,6.13176233195571,8.6910876139184e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_325970",23.841469005873,22.2679752767248,3.60235046238069,6.18151273988165,6.34902354653874e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_325987",19.6341509460131,22.0009081492717,3.59460270372886,6.12053958743454,9.32590092863466e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_326033",17.5304919160831,21.8497107873737,3.59065123059614,6.08516655730612,1.16370271858616e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_326054",16.4786624011181,21.7665928589503,3.58869713594849,6.06531898189769,1.31692018954932e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_326375",30.1524460956629,22.5870414417766,3.61306985828432,6.251482071399,4.06575780938204e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_326412",23.4908591675513,22.2462231669168,3.60172031336241,6.17655487695231,6.55154443632446e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_326951",17.1798820777614,21.8199879345716,3.58999665161637,6.0779967370575,1.21693231048102e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_327048",24.893298520838,22.3269505315215,3.60422029833606,6.19466866157685,5.84077671689842e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_327509",29.1006165806979,22.5387737545703,3.61136798778901,6.24106261969974,4.34608202451748e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_327527",17.8811017544048,21.8694684687514,3.5913080266777,6.08955520002631,1.13224821441874e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_327860",28.7500067423763,22.5223140859177,3.61079314087453,6.23749774833759,4.4462550577702e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_327874",24.5426886825163,22.3041988133417,3.60360053434384,6.18942044235291,6.03858205158481e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_328004",22.0884198142647,22.1619022237219,3.59916783746386,6.15750729739189,7.38988393318806e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_328006",21.3872001376214,22.120088872267,3.59787435476004,6.14809931953344,7.84169281380639e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_328013",21.737809975943,22.1427403318493,3.59852240834295,6.15328677140173,7.5893392814617e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_328042",18.5823214310481,21.9303151538715,3.59262538289166,6.1042588125957,1.03278816993619e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_328088",24.5426886825163,22.3041988133417,3.60360053434384,6.18942044235291,6.03858205158481e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_328103",29.1006165806979,22.5387737545703,3.61136798778901,6.24106261969974,4.34608202451748e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_328196",16.4786624011181,21.7665928589503,3.58869713594849,6.06531898189769,1.31692018954932e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_328266",26.996957550768,22.4371355404409,3.60786195106179,6.21895622526181,5.00472893922125e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_328570",22.789639490908,22.2038079634668,3.60045021584209,6.16695319540022,6.96183530889521e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_328578",23.1402493292297,22.2269057103743,3.60108685989926,6.17227703055074,6.73134196991878e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_328657",16.8292722394398,21.791536997566,3.58934499111611,6.07117372431507,1.26978731409258e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_328673",19.6341509460131,22.0009081492717,3.59460270372886,6.12053958743454,9.32590092863466e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_329189",28.7500067423763,22.5223140859177,3.61079314087453,6.23749774833759,4.4462550577702e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_329193",21.3872001376214,22.120088872267,3.59787435476004,6.14809931953344,7.84169281380639e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_329279",17.5304919160831,21.8497107873737,3.59065123059614,6.08516655730612,1.16370271858616e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_329676",19.2835411076914,21.9776783602581,3.59394407007113,6.11519765799337,9.64373566614675e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_329681",18.2317115927264,21.897622687965,3.59196627223289,6.09627736686756,1.08566973460423e-09,7.17230725593991e-08
"CM_cdhit-1_transcript_330153",21.737809975943,22.1427403318493,3.59852240834295,6.15328677140173,7.5893392814617e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_330351",22.4390296525864,22.1856603755087,3.59981044104207,6.16300795246497,7.13759213540693e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_330434",26.2957378741246,22.401357647577,3.60666295976651,6.21110369820283,5.26137371497217e-10,7.17230725593991e-08
"CM_cdhit-1_transcript_330693",21.3872001376214,22.120088872267,3.59787435476004,6.14809931953344,7.84169281380639e-10,7.17230725593991e-08
