query_id,log2FC,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
CM_cdhit-1_transcript_821,-21.263387175690355,1121286.AUMT01000019_gene1807,2.8299999999999996e-104,305,"COG0783@1|root,COG0783@2|Bacteria,4NQDD@976|Bacteroidetes,1I1BH@117743|Flavobacteriia,3ZQTB@59732|Chryseobacterium",976|Bacteroidetes,P,Belongs to the Dps family,dps,-,-,ko:K04047,-,-,-,-,"ko00000,ko03036",-,-,-,Ferritin
CM_cdhit-1_transcript_1115,-20.930371256807472,1114970.PSF113_0035,8.89e-60,187,"2C1YJ@1|root,32ZXK@2|Bacteria,1N98H@1224|Proteobacteria,1SD8N@1236|Gammaproteobacteria,1YQNW@136843|Pseudomonas fluorescens group",1236|Gammaproteobacteria,S,Protein of unknown function (DUF2782),-,-,-,-,-,-,-,-,-,-,-,-,DUF2782
CM_cdhit-1_transcript_1711,-21.3966884689787,62977.ACIAD0328,4.91e-41,138,"2AZMF@1|root,31RW6@2|Bacteria,1QPD5@1224|Proteobacteria,1TN2S@1236|Gammaproteobacteria,3NPW4@468|Moraxellaceae",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_1751,-21.071919472982263,159749.K0SIW3,8.53e-10,58.9,"2EZRH@1|root,2T10Z@2759|Eukaryota",2759|Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_1780,-21.137511550687435,55207.KP22_16960,1.4e-246,691,"COG0468@1|root,COG0468@2|Bacteria,1MU3C@1224|Proteobacteria,1RMHP@1236|Gammaproteobacteria,1MQXQ@122277|Pectobacterium",1236|Gammaproteobacteria,L,"Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage",recA,"GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006310,GO:0006725,GO:0006807,GO:0006928,GO:0006950,GO:0006974,GO:0007154,GO:0008150,GO:0008152,GO:0009314,GO:0009432,GO:0009605,GO:0009628,GO:0009987,GO:0009991,GO:0010212,GO:0031668,GO:0033554,GO:0034641,GO:0040011,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0048870,GO:0050896,GO:0051179,GO:0051674,GO:0051716,GO:0071496,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363",-,ko:K03553,"ko03440,map03440",M00729,-,-,"ko00000,ko00001,ko00002,ko03400",-,-,-,RecA
CM_cdhit-1_transcript_2523,-20.930371256807472,376686.Fjoh_3861,0,1029,"COG1472@1|root,COG1472@2|Bacteria,4NE90@976|Bacteroidetes,1HX27@117743|Flavobacteriia,2NSID@237|Flavobacterium",976|Bacteroidetes,G,Belongs to the glycosyl hydrolase 3 family,-,-,3.2.1.21,ko:K05349,"ko00460,ko00500,ko00940,ko01100,ko01110,map00460,map00500,map00940,map01100,map01110",-,"R00026,R02558,R02887,R02985,R03527,R04949,R04998,R10035,R10039,R10040","RC00049,RC00059,RC00171,RC00262,RC00397,RC00451,RC00714,RC00746,RC01248","ko00000,ko00001,ko01000",-,GH3,-,"Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C"
CM_cdhit-1_transcript_2941,-21.263387175690355,78398.KS43_22565,2.45e-164,481,"COG0834@1|root,COG0834@2|Bacteria,1MXME@1224|Proteobacteria,1RPQ4@1236|Gammaproteobacteria,1MR80@122277|Pectobacterium",1236|Gammaproteobacteria,ET,belongs to the bacterial solute-binding protein 3 family,Z012_07825,-,-,ko:K02424,"ko02010,map02010",M00234,-,-,"ko00000,ko00001,ko00002,ko02000,ko02035","3.A.1.3.10,3.A.1.3.14",-,-,SBP_bac_3
CM_cdhit-1_transcript_3131,-21.11327262830988,218491.ECA0631,5.98e-45,148,"COG3237@1|root,COG3237@2|Bacteria,1N6X4@1224|Proteobacteria,1SDHP@1236|Gammaproteobacteria,1MSXY@122277|Pectobacterium",1236|Gammaproteobacteria,S,Belongs to the UPF0337 (CsbD) family,yjbJ,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464",-,-,-,-,-,-,-,-,-,-,CsbD
CM_cdhit-1_transcript_3375,-21.12545510517075,267608.RSc1921,1.99e-75,266,"COG4675@1|root,COG5301@1|root,COG4675@2|Bacteria,COG5301@2|Bacteria,1MWNN@1224|Proteobacteria,2VSW5@28216|Betaproteobacteria",28216|Betaproteobacteria,S,Phage tail-collar fibre protein,-,-,-,-,-,-,-,-,-,-,-,-,"Collar,DUF3751"
CM_cdhit-1_transcript_4280,-21.062547753000633,561230.PC1_2371,9.16e-136,394,"COG0807@1|root,COG0807@2|Bacteria,1MWZR@1224|Proteobacteria,1RMFX@1236|Gammaproteobacteria,1MRCX@122277|Pectobacterium",1236|Gammaproteobacteria,F,"Catalyzes the conversion of GTP to 2,5-diamino-6- ribosylamino-4(3H)-pyrimidinone 5'-phosphate (DARP), formate and pyrophosphate",ribA,"GO:0003674,GO:0003824,GO:0003933,GO:0003935,GO:0006766,GO:0006767,GO:0006771,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009231,GO:0009987,GO:0016787,GO:0016810,GO:0016814,GO:0017144,GO:0018130,GO:0019238,GO:0034641,GO:0042364,GO:0042726,GO:0042727,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",3.5.4.25,ko:K01497,"ko00740,ko00790,ko01100,ko01110,ko02024,map00740,map00790,map01100,map01110,map02024",M00125,R00425,"RC00293,RC02504","ko00000,ko00001,ko00002,ko01000",-,-,"iAPECO1_1312.APECO1_437,iPC815.YPO2222,iSbBS512_1146.SbBS512_E1505,iUTI89_1310.UTI89_C1548",GTP_cyclohydro2
CM_cdhit-1_transcript_5275,-21.11327262830988,1166016.W5S_0215,3.1999999999999997e-122,357,"COG0250@1|root,COG0250@2|Bacteria,1MU14@1224|Proteobacteria,1RMW0@1236|Gammaproteobacteria,1MPW2@122277|Pectobacterium",1236|Gammaproteobacteria,K,"Participates in transcription elongation, termination and antitermination. In the absence of Rho, increases the rate of transcription elongation by the RNA polymerase (RNAP), probably by partially suppressing pausing. In the presence of Rho, modulates most Rho-dependent termination events by interacting with the RNAP to render the complex more susceptible to the termination activity of Rho. May be required to overcome a kinetic limitation of Rho to function at certain terminators. Also involved in ribosomal RNA transcriptional antitermination",nusG,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006353,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0031554,GO:0031564,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043244,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051128,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576,GO:1903506,GO:2000112,GO:2001141",-,ko:K02601,-,-,-,-,"ko00000,ko03009,ko03021",-,-,-,"KOW,NusG"
CM_cdhit-1_transcript_5293,-21.198751346151365,598467.BrE312_4199,0,1070,"COG0085@1|root,COG0085@2|Bacteria,1MUC4@1224|Proteobacteria,1RMK0@1236|Gammaproteobacteria",1236|Gammaproteobacteria,K,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,rpoB,"GO:0000428,GO:0003674,GO:0003824,GO:0003899,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0030880,GO:0032774,GO:0032991,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0061695,GO:0071704,GO:0090304,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1990234",2.7.7.6,ko:K03043,"ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020",M00183,"R00435,R00441,R00442,R00443",RC02795,"br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400",-,-,-,"RNA_pol_Rpb2_1,RNA_pol_Rpb2_2,RNA_pol_Rpb2_3,RNA_pol_Rpb2_45,RNA_pol_Rpb2_6,RNA_pol_Rpb2_7"
CM_cdhit-1_transcript_5433,-21.024451202247334,236814.IX39_13875,9.349999999999998e-304,844,"COG3474@1|root,COG3474@2|Bacteria,4PKQA@976|Bacteroidetes,1IJDW@117743|Flavobacteriia,3ZNIF@59732|Chryseobacterium",976|Bacteroidetes,C,Quinol cytochrome C oxidoreductase,-,-,-,-,-,-,-,-,-,-,-,-,"Cytochrom_C,Cytochrom_CIII,Cytochrome_C7"
CM_cdhit-1_transcript_5469,-21.137511550687435,1175306.GWL_15680,2.7e-5,49.7,"2AFAI@1|root,3159V@2|Bacteria,1PVBD@1224|Proteobacteria,2WB74@28216|Betaproteobacteria,4755P@75682|Oxalobacteraceae",28216|Betaproteobacteria,S,Domain of unknown function (DUF4148),-,-,-,-,-,-,-,-,-,-,-,-,DUF4148
CM_cdhit-1_transcript_5718,-21.071919472982263,1205680.CAKO01000035_gene338,1.29e-219,651,"COG1002@1|root,COG1002@2|Bacteria",2|Bacteria,V,DNA modification,-,-,-,-,-,-,-,-,-,-,-,-,"Eco57I,N6_Mtase"
CM_cdhit-1_transcript_5770,-21.160988855730007,236814.IX39_10645,9.18e-259,729,"COG0415@1|root,COG0415@2|Bacteria,4NEDW@976|Bacteroidetes,1HXRR@117743|Flavobacteriia,3ZNN4@59732|Chryseobacterium",976|Bacteroidetes,L,Belongs to the DNA photolyase family,phr,-,4.1.99.3,ko:K01669,-,-,-,-,"ko00000,ko01000,ko03400",-,-,-,"DNA_photolyase,FAD_binding_7"
CM_cdhit-1_transcript_5876,-21.303427723218668,561230.PC1_2298,1.6e-54,177,"2EG60@1|root,339XW@2|Bacteria,1NM77@1224|Proteobacteria,1SGGT@1236|Gammaproteobacteria,1MTUF@122277|Pectobacterium",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CM_cdhit-1_transcript_6622,-21.222181147470916,78398.KS43_01505,1.1999999999999999e-95,288,"COG1846@1|root,COG1846@2|Bacteria,1N78T@1224|Proteobacteria,1S26B@1236|Gammaproteobacteria,1MQJ9@122277|Pectobacterium",1236|Gammaproteobacteria,K,Transcription regulator that can specifically activate or repress expression of target genes,slyA,"GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031333,GO:0031334,GO:0043254,GO:0044087,GO:0044089,GO:0044212,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:2000112,GO:2000113,GO:2000142,GO:2000143,GO:2000144,GO:2001141",-,ko:K06075,-,-,-,-,"ko00000,ko03000",-,-,-,"MarR,MarR_2"
CM_cdhit-1_transcript_6900,-20.037491655413007,1270196.JCKI01000009_gene3399,1e-245,681,"COG2133@1|root,COG2133@2|Bacteria,4NEZC@976|Bacteroidetes,1INVX@117747|Sphingobacteriia",976|Bacteroidetes,G,Glucose Sorbosone dehydrogenase,-,-,-,ko:K21430,-,-,-,-,"ko00000,ko01000",-,-,-,GSDH
CM_cdhit-1_transcript_7163,-20.930371256807472,1121286.AUMT01000002_gene1551,3.14e-177,514,"COG1127@1|root,COG1127@2|Bacteria,4NETG@976|Bacteroidetes,1HXNN@117743|Flavobacteriia,3ZP90@59732|Chryseobacterium",976|Bacteroidetes,Q,"ABC transporter, ATP-binding protein",metN,-,-,ko:K02065,"ko02010,map02010","M00210,M00669,M00670",-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.27,-,-,ABC_tran
