query_ID,subject_ID,p_id_matches,alignment_length,n_mismatches,n_gap_openings,soa_query,eoa_query,soa_subject,eoa_subject,e-val,bitscore,TIGRFAM,Model,subject_genome,subject_genus
CM_cdhit-1_transcript_2941,BCW-200312_01064,29.6,260,156,8,1381,2121,47,292,1.98e-18,90.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200312,Enterococcus
CM_cdhit-1_transcript_2941,BCW-200130_02723,27.5,280,173,7,1474,2280,270,530,1.71e-17,87.8,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200130,Enterococcus
CM_cdhit-1_transcript_2941,BCW-200150_00728,30.7,257,159,8,1378,2121,1,247,3.91e-17,86.7,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200150,Lactococcus
CM_cdhit-1_transcript_2941,BCW-200010_02278,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200010,unassigned
CM_cdhit-1_transcript_2941,BCW-200019_04940,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200019,unassigned
CM_cdhit-1_transcript_2941,BCW-200042_07724,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200042,unassigned
CM_cdhit-1_transcript_2941,BCW-200048_04879,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200048,unassigned
CM_cdhit-1_transcript_2941,BCW-200051_00921,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200051,Lactococcus
CM_cdhit-1_transcript_2941,BCW-200074_01234,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200074,unassigned
CM_cdhit-1_transcript_2941,BCW-200077_02294,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200077,Lactococcus
CM_cdhit-1_transcript_2941,BCW-200079_00980,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200079,unassigned
CM_cdhit-1_transcript_2941,BCW-200080_01200,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200080,unassigned
CM_cdhit-1_transcript_2941,BCW-200121_02107,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200121,Lactococcus
CM_cdhit-1_transcript_2941,BCW-200126_00659,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200126,unassigned
CM_cdhit-1_transcript_2941,BCW-200127_07037,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200127,unassigned
CM_cdhit-1_transcript_2941,BCW-200128_00775,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200128,Lactococcus
CM_cdhit-1_transcript_2941,BCW-200131_03315,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200131,unassigned
CM_cdhit-1_transcript_2941,BCW-200138_00849,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200138,Lactococcus
CM_cdhit-1_transcript_2941,BCW-200175_00747,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200175,Lactococcus
CM_cdhit-1_transcript_2941,BCW-200179_04841,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200179,unassigned
CM_cdhit-1_transcript_2941,BCW-200180_01120,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200180,Lactococcus
CM_cdhit-1_transcript_2941,BCW-200188_01019,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200188,Lactococcus
CM_cdhit-1_transcript_2941,BCW-200192_00698,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200192,Lactococcus
CM_cdhit-1_transcript_2941,BCW-200196_01689,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200196,Lactococcus
CM_cdhit-1_transcript_2941,BCW-200198_02641,30.7,257,159,8,1378,2121,1,247,6.79e-17,85.9,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200198,Lactococcus
CM_cdhit-1_transcript_5433,BCW-200010_06630,31.5,251,156,5,1551,2270,52,297,5.05e-20,96.3,TIGR02936,"fdxN_nitrog: ferredoxin III, nif-specific",BCW-200010,unassigned
CM_cdhit-1_transcript_5433,BCW-200042_00778,31.5,251,156,5,1551,2270,52,297,5.05e-20,96.3,TIGR02936,"fdxN_nitrog: ferredoxin III, nif-specific",BCW-200042,unassigned
CM_cdhit-1_transcript_7163,BCW-200073_03085,31.6,234,153,4,1399,710,44,274,1.59e-25,113,TIGR01581,Mo_ABC_porter: NifC-like ABC-type porter,BCW-200073,Pseudomonas
CM_cdhit-1_transcript_8090,BCW-200993_01901,35,123,76,2,963,601,1,121,1.41e-12,68.9,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200993,Herbaspirillum
CM_cdhit-1_transcript_8090,BCW-200089_00736,33.3,123,78,2,963,601,1,121,1.94e-11,65.5,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200089,Burkholderia
CM_cdhit-1_transcript_8090,BCW-200126_01603,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200126,unassigned
CM_cdhit-1_transcript_8090,BCW-200141_00798,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200141,Kosakonia
CM_cdhit-1_transcript_8090,BCW-200178_07961,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200178,unassigned
CM_cdhit-1_transcript_8090,BCW-200179_00837,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200179,unassigned
CM_cdhit-1_transcript_8090,BCW-200181_02310,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200181,Kosakonia
CM_cdhit-1_transcript_8090,BCW-200183_03036,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200183,Kosakonia
CM_cdhit-1_transcript_8090,BCW-200187_00406,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200187,Kosakonia
CM_cdhit-1_transcript_8090,BCW-200189_07276,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200189,unassigned
CM_cdhit-1_transcript_8090,BCW-200194_00274,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200194,Kosakonia
CM_cdhit-1_transcript_8090,BCW-200197_04249,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200197,Kosakonia
CM_cdhit-1_transcript_8090,BCW-200205_05204,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200205,unassigned
CM_cdhit-1_transcript_8090,BCW-200210_03528,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200210,Kosakonia
CM_cdhit-1_transcript_8090,BCW-200214_03874,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200214,Kosakonia
CM_cdhit-1_transcript_8090,BCW-200226_00954,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200226,Kosakonia
CM_cdhit-1_transcript_8090,BCW-200227_00514,34.5,113,70,2,954,622,6,116,4.4e-11,64.3,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200227,Kosakonia
CM_cdhit-1_transcript_8090,BCW-200060_00655,34.5,113,70,2,954,622,6,116,5.87e-11,63.9,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200060,Metakosakonia
CM_cdhit-1_transcript_8090,BCW-200162_03716,34.5,113,70,2,954,622,6,116,5.87e-11,63.9,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200162,Metakosakonia
CM_cdhit-1_transcript_8090,BCW-200168_03327,34.5,113,70,2,954,622,6,116,5.87e-11,63.9,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200168,Metakosakonia
CM_cdhit-1_transcript_8090,BCW-200302_01979,34.5,113,70,2,954,622,6,116,5.87e-11,63.9,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200302,Metakosakonia
CM_cdhit-1_transcript_8090,BCW-200307_04443,34.5,113,70,2,954,622,6,116,5.87e-11,63.9,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200307,Metakosakonia
CM_cdhit-1_transcript_8090,BCW-200308_04179,34.5,113,70,2,954,622,6,116,5.87e-11,63.9,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200308,Metakosakonia
CM_cdhit-1_transcript_8090,BCW-200509_03353,34.5,113,70,2,954,622,6,116,5.87e-11,63.9,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200509,Metakosakonia
CM_cdhit-1_transcript_8090,BCW-200516_03687,34.5,113,70,2,954,622,6,116,5.87e-11,63.9,TIGR01817,nifA: Nif-specific regulatory protein,BCW-200516,unassigned
CM_cdhit-1_transcript_12505,BCW-200215_00062,29,255,164,5,1323,2042,5,257,2.38e-23,100,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200215,Agrobacterium
CM_cdhit-1_transcript_12505,BCW-200464_01188,29,255,164,5,1323,2042,5,257,2e-22,98.2,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200464,Agrobacterium
CM_cdhit-1_transcript_12505,BCW-200208_05050,27.5,255,168,5,1323,2042,5,257,3.0700000000000002e-21,94.7,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200208,Agrobacterium
CM_cdhit-1_transcript_12505,BCW-200328_03890,27.5,255,168,5,1323,2042,5,257,4.16e-21,94.4,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200328,Agrobacterium
CM_cdhit-1_transcript_12505,BCW-200465_03768,27.1,255,169,5,1323,2042,5,257,4.16e-21,94.4,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200465,Agrobacterium
CM_cdhit-1_transcript_12505,BCW-200663_03826,27.5,255,168,5,1323,2042,5,257,4.16e-21,94.4,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200663,Agrobacterium
CM_cdhit-1_transcript_12505,BCW-200705_02706,27.5,255,168,5,1323,2042,5,257,4.16e-21,94.4,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200705,Agrobacterium
CM_cdhit-1_transcript_12505,BCW-200902_00666,27.5,255,168,5,1323,2042,5,257,4.16e-21,94.4,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200902,Agrobacterium
CM_cdhit-1_transcript_12505,BCW-200903_00376,27.5,255,168,5,1323,2042,5,257,4.16e-21,94.4,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200903,unassigned
CM_cdhit-1_transcript_12505,BCW-200904_02360,27.5,255,168,5,1323,2042,5,257,4.16e-21,94.4,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200904,Agrobacterium
CM_cdhit-1_transcript_12505,BCW-200910_03884,27.5,255,168,5,1323,2042,5,257,4.16e-21,94.4,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200910,Agrobacterium
CM_cdhit-1_transcript_12505,BCW-200912_01390,27.5,255,168,5,1323,2042,5,257,4.16e-21,94.4,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200912,unassigned
CM_cdhit-1_transcript_12505,BCW-200920_03039,27.5,255,168,5,1323,2042,5,257,4.16e-21,94.4,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200920,Agrobacterium
CM_cdhit-1_transcript_12505,BCW-200001_02975,28.6,245,150,8,1338,2051,11,237,1.18e-13,72,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200001,Acidovorax
CM_cdhit-1_transcript_12505,BCW-200011_02925,28.6,245,150,8,1338,2051,11,237,1.18e-13,72,TIGR02935,TIGR02935: probable nitrogen fixation protein,BCW-200011,Acidovorax
CM_cdhit-1_transcript_12505,BCW-201813_04308,26.9,253,164,9,1323,2042,36,280,2.93e-13,71.6,TIGR03419,NifU_clost: FeS cluster assembly scaffold protein NifU,BCW-201813,non-single-bin-prok
CM_cdhit-1_transcript_12505,BCW-201815_01192,26.9,253,164,9,1323,2042,36,280,2.93e-13,71.6,TIGR03419,NifU_clost: FeS cluster assembly scaffold protein NifU,BCW-201815,non-single-bin-prok
CM_cdhit-1_transcript_12505,BCW-201818_06885,26.9,253,164,9,1323,2042,36,280,2.93e-13,71.6,TIGR03419,NifU_clost: FeS cluster assembly scaffold protein NifU,BCW-201818,non-single-bin-prok
CM_cdhit-1_transcript_12505,BCW-201823_02084,26.9,253,164,9,1323,2042,36,280,2.93e-13,71.6,TIGR03419,NifU_clost: FeS cluster assembly scaffold protein NifU,BCW-201823,non-single-bin-prok
CM_cdhit-1_transcript_12505,BCW-201824_06661,26.9,253,164,9,1323,2042,36,280,2.93e-13,71.6,TIGR03419,NifU_clost: FeS cluster assembly scaffold protein NifU,BCW-201824,non-single-bin-prok
CM_cdhit-1_transcript_12505,BCW-201825_05320,26.9,253,164,9,1323,2042,36,280,2.93e-13,71.6,TIGR03419,NifU_clost: FeS cluster assembly scaffold protein NifU,BCW-201825,non-single-bin-prok
CM_cdhit-1_transcript_12505,BCW-201830_03189,26.9,253,164,9,1323,2042,36,280,2.93e-13,71.6,TIGR03419,NifU_clost: FeS cluster assembly scaffold protein NifU,BCW-201830,non-single-bin-prok
CM_cdhit-1_transcript_12505,BCW-201834_01428,26.9,253,164,9,1323,2042,36,280,2.93e-13,71.6,TIGR03419,NifU_clost: FeS cluster assembly scaffold protein NifU,BCW-201834,non-single-bin-prok
CM_cdhit-1_transcript_12505,BCW-201836_04438,26.9,253,164,9,1323,2042,36,280,2.93e-13,71.6,TIGR03419,NifU_clost: FeS cluster assembly scaffold protein NifU,BCW-201836,non-single-bin-prok
CM_cdhit-1_transcript_12505,BCW-201840_04591,26.9,253,164,9,1323,2042,36,280,2.93e-13,71.6,TIGR03419,NifU_clost: FeS cluster assembly scaffold protein NifU,BCW-201840,non-single-bin-prok
CM_cdhit-1_transcript_21016,BCW-200785_06418,99.2,128,1,0,313,696,1,128,5.320000000000001e-85,257,TIGR01994,"SUF_scaf_2: SUF system FeS assembly protein, NifU family",BCW-200785,Pseudomonas
