protein_name	fam_name:group_number	subfam_name_of_the_group:subfam_name_count
CM_cdhit-1_transcript_1780_3	3.5.1.-:243	3.5.1.42:5
CM_cdhit-1_transcript_2523_1	3.2.1.-:154	3.2.1.21:3
CM_cdhit-1_transcript_4280_1	3.5.4.-:68	3.5.4.25:79|4.1.99.12:1
CM_cdhit-1_transcript_5293_1	2.7.7.-:547	2.7.7.6:763|2.7.7.49:2|2.7.7.7:1
CM_cdhit-1_transcript_5770_3	4.1.99.-:27	4.1.99.3:10
CM_cdhit-1_transcript_8276_1	2.5.1.-:63	2.5.1.47:38|4.4.1.9:2|2.5.1.144:1|2.5.1.51:1|2.5.1.52:1|4.2.1.50:1|4.5.1.5:1|2.5.1.113:1|2.5.1.134:1|4.4.1.1:1
CM_cdhit-1_transcript_8276_1	4.4.1.-:3	4.4.1.9:7|2.5.1.47:5
CM_cdhit-1_transcript_9924_2	3.2.1.-:154	3.2.1.21:3
CM_cdhit-1_transcript_11725_2	5.1.1.-:9	5.1.1.1:35
CM_cdhit-1_transcript_18580_1	4.3.1.-:26	4.3.1.17:10
CM_cdhit-1_transcript_19850_2	1.1.1.-:221	1.1.1.35:5|4.2.1.17:3|5.3.3.8:3
CM_cdhit-1_transcript_21016_1	2.8.1.-:14	2.8.1.7:124
CM_cdhit-1_transcript_21346_1	5.3.1.-:125	5.3.1.1:115|5.3.1.33:1
CM_cdhit-1_transcript_22659_2	2.5.1.-:15	2.5.1.78:220
CM_cdhit-1_transcript_24671_1	1.8.1.-:21	1.8.1.9:42|1.8.1.19:1|1.18.1.2:1
CM_cdhit-1_transcript_26279_1	1.8.1.-:21	1.8.1.9:42|1.8.1.19:1|1.18.1.2:1
CM_cdhit-1_transcript_28698_2	2.7.2.-:67	2.7.2.1:113|2.7.2.15:11
CM_cdhit-1_transcript_30061_1	1.4.99.-:1	1.4.99.5:2
CM_cdhit-1_transcript_30061_2	1.4.99.-:0	1.4.99.5:2
CM_cdhit-1_transcript_36242_1	1.8.4.-:34	1.8.4.12:5
CM_cdhit-1_transcript_37009_1	1.13.11.-:67	1.13.11.24:5
CM_cdhit-1_transcript_38668_1	2.7.7.-:547	2.7.7.6:763|2.7.7.49:2|2.7.7.7:1
CM_cdhit-1_transcript_41746_2	7.1.1.-:26	7.1.1.3:6
CM_cdhit-1_transcript_43438_2	5.4.2.-:18	5.4.2.10:213
CM_cdhit-1_transcript_45901_1	5.1.3.-:18	5.1.3.37:7|4.2.2.3:1
CM_cdhit-1_transcript_49333_1	6.1.1.-:186	6.1.1.15:69
CM_cdhit-1_transcript_49565_1	1.2.1.-:0	1.2.1.19:26
CM_cdhit-1_transcript_50440_1	1.1.5.-:14	1.1.5.3:4
CM_cdhit-1_transcript_50881_1	1.11.1.-:23	1.11.1.15:12
CM_cdhit-1_transcript_250797_14	7.4.2.-:0	7.4.2.5:12|7.4.2.1:1|7.4.2.7:1
CM_cdhit-1_transcript_302032_2	4.2.1.-:102	4.2.1.3:14
CM_cdhit-1_transcript_324787_1	2.4.2.-:177	2.4.2.10:57
CM_cdhit-1_transcript_327048_1	1.13.11.-:67	1.13.11.24:5
CM_cdhit-1_transcript_328120_1	3.6.3.-:1	3.6.3.17:210
CM_cdhit-1_transcript_329681_1	3.6.4.-:47	3.6.4.9:7
CM_cdhit-1_transcript_340674_1	4.1.99.-:3	4.1.99.22:14
CM_cdhit-1_transcript_340928_1	7.2.2.-:11	7.2.2.1:2
CM_cdhit-1_transcript_344190_2	2.7.1.-:413	2.7.1.23:10
CM_cdhit-1_transcript_345419_1	5.2.1.-:27	5.2.1.8:32
CM_cdhit-1_transcript_347265_1	2.6.1.-:101	2.6.1.13:12
CM_cdhit-1_transcript_348817_1	1.11.1.-:22	1.11.1.15:4
CM_cdhit-1_transcript_350649_2	1.2.1.-:37	1.2.1.41:257
CM_cdhit-1_transcript_352277_2	3.4.21.-:28	3.4.21.92:415
CM_cdhit-1_transcript_354923_1	2.8.1.-:14	2.8.1.7:124
CM_cdhit-1_transcript_355167_1	1.1.1.-:201	1.1.1.62:6|1.1.1.239:6|1.1.1.100:1
CM_cdhit-1_transcript_356095_1	3.6.4.-:81	3.6.4.10:39
CM_cdhit-1_transcript_356403_1	1.17.4.-:1	1.17.4.1:22
CM_cdhit-1_transcript_356403_2	1.17.4.-:18	1.17.4.1:36
CM_cdhit-1_transcript_357212_2	3.6.4.-:67	3.6.4.12:30
CM_cdhit-1_transcript_358095_1	3.6.1.-:141	3.6.1.3:2
CM_cdhit-1_transcript_359185_2	1.6.99.-:8	1.6.99.1:29
CM_cdhit-1_transcript_360494_2	2.1.1.-:521	2.1.1.198:7
CM_cdhit-1_transcript_360494_4	2.7.1.-:367	2.7.1.21:16
CM_cdhit-1_transcript_361932_2	1.3.1.-:17	1.3.1.34:4
CM_cdhit-1_transcript_362795_3	4.3.2.-:39	3.5.1.2:5|4.3.2.10:5
CM_cdhit-1_transcript_362795_3	3.5.1.-:201	3.5.1.2:5|4.3.2.10:5
CM_cdhit-1_transcript_362795_4	4.3.2.-:47	4.3.2.10:4
CM_cdhit-1_transcript_362795_5	5.1.3.-:2	5.1.3.2:10
CM_cdhit-1_transcript_364821_1	1.15.1.-:19	1.15.1.1:3
CM_cdhit-1_transcript_365695_1	2.5.1.-:286	2.5.1.48:5
CM_cdhit-1_transcript_365703_2	1.11.1.-:61	1.11.1.15:11
CM_cdhit-1_transcript_367875_1	4.2.1.-:70	4.2.1.2:93
CM_cdhit-1_transcript_376018_2	2.7.7.-:192	2.7.7.48:3
CM_cdhit-1_transcript_376595_1	1.1.1.-:295	1.1.1.195:18|1.1.1.255:7|1.1.1.2:3|1.1.1.324:1|1.1.1.183:1|1.1.1.1:1
CM_cdhit-1_transcript_382312_4	7.1.2.-:6	7.1.2.2:738
CM_cdhit-1_transcript_383722_1	1.2.1.-:0	1.2.1.19:26
CM_cdhit-1_transcript_387874_1	1.3.1.-:46	1.3.1.42:7|1.3.1.100:3|1.3.1.31:1|1.3.1.92:1
CM_cdhit-1_transcript_391110_1	2.7.7.-:178	2.7.7.8:668|2.7.7.24:1|2.7.7.3:1|2.7.7.6:1
CM_cdhit-1_transcript_398612_1	1.1.1.-:53	1.1.1.205:34
