Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CM_cdhit-1_transcript_2523_1	ABQ06872.1|GH3	91.2	555	49	0	2	556	205	759	3.4e-300	1033.9
CM_cdhit-1_transcript_9924_2	AXB55718.1|GH3	94.1	745	44	0	1	745	1	745	0.0e+00	1404.8
CM_cdhit-1_transcript_9924_3	QSW87076.1|GH5_4	90.2	471	45	1	17	487	1	470	6.3e-250	866.7
CM_cdhit-1_transcript_50440_1	ATE86697.1|GH36	50.6	488	230	7	45	527	725	1206	8.0e-137	491.1
CM_cdhit-1_transcript_302032_3	AWK04646.1|CBM50	80.2	388	76	1	1	387	1	388	2.7e-171	605.1
CM_cdhit-1_transcript_324647_2	AXB57094.1|GH43_18	86.8	357	47	0	1	357	1	357	1.7e-180	635.6
CM_cdhit-1_transcript_340928_1	CAD7245033.1|GT58	63.3	360	103	4	5	364	1054	1384	4.7e-117	424.9
CM_cdhit-1_transcript_347124_1	AOC97427.1|GH144	95.4	196	9	0	1	196	1	196	2.4e-107	391.7
CM_cdhit-1_transcript_362795_5	VEJ19452.1|GT4	82.2	343	61	0	1	343	368	710	6.0e-162	573.9
CM_cdhit-1_transcript_365776_2	ABQ03258.1|GT2	95.1	368	18	0	1	368	1	368	3.8e-199	697.6
CM_cdhit-1_transcript_369973_1	ABQ07182.1|CBM13|CBM6	68.2	469	142	1	1	462	1	469	3.7e-191	671.4
