Gene ID	EC#	HMMER	eCAMI	DIAMOND	#ofTools
CM_cdhit-1_transcript_20165_2	-	CE14(6-111)	-	-	1
CM_cdhit-1_transcript_2523_1	3.2.1.21	GH3(4-122)	3.2.1.-	GH3	3
CM_cdhit-1_transcript_324587_2	-	CE1(17-198)	-	-	1
CM_cdhit-1_transcript_324587_3	-	CE1(18-198)	-	-	1
CM_cdhit-1_transcript_324588_2	-	CE1(17-198)	-	-	1
CM_cdhit-1_transcript_331237_1	-	GT5(7-241)	-	-	1
CM_cdhit-1_transcript_347124_1	-	GH144(37-196)	-	GH144	2
CM_cdhit-1_transcript_365776_2	-	GT2(43-186)	-	GT2	2
CM_cdhit-1_transcript_9924_2	3.2.1.21	GH3(75-296)	3.2.1.-	GH3	3
CM_cdhit-1_transcript_9924_3	-	GH5_4(189-485)	-	GH5_4	2
CM_cdhit-1_transcript_1780_3	3.5.1.42	-	3.5.1.-	-	1
CM_cdhit-1_transcript_4280_1	3.5.4.25|4.1.99.12	-	3.5.4.-	-	1
CM_cdhit-1_transcript_5293_1	2.7.7.6|2.7.7.49|2.7.7.7	-	2.7.7.-	-	1
CM_cdhit-1_transcript_5770_3	4.1.99.3	-	4.1.99.-	-	1
CM_cdhit-1_transcript_8276_1	4.4.1.9|2.5.1.47	-	2.5.1.-+4.4.1.-	-	1
CM_cdhit-1_transcript_11725_2	5.1.1.1	-	5.1.1.-	-	1
CM_cdhit-1_transcript_18580_1	4.3.1.17	-	4.3.1.-	-	1
CM_cdhit-1_transcript_19850_2	1.1.1.35|4.2.1.17|5.3.3.8	-	1.1.1.-	-	1
CM_cdhit-1_transcript_21016_1	2.8.1.7	-	2.8.1.-	-	1
CM_cdhit-1_transcript_21346_1	5.3.1.1|5.3.1.33	-	5.3.1.-	-	1
CM_cdhit-1_transcript_22659_2	2.5.1.78	-	2.5.1.-	-	1
CM_cdhit-1_transcript_24671_1	1.8.1.9|1.8.1.19|1.18.1.2	-	1.8.1.-	-	1
