HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CE14.hmm	124	CM_cdhit-1_transcript_20165_2	115	2.8e-28	1	124	6	111	0.9919354838709677
GH3.hmm	216	CM_cdhit-1_transcript_2523_1	557	4.1e-31	105	215	4	122	0.5092592592592593
CE1.hmm	227	CM_cdhit-1_transcript_324587_2	215	7.7e-19	24	207	17	198	0.8061674008810573
CE1.hmm	227	CM_cdhit-1_transcript_324587_3	215	1e-18	25	207	18	198	0.801762114537445
CE1.hmm	227	CM_cdhit-1_transcript_324588_2	215	7.7e-19	24	207	17	198	0.8061674008810573
GT5.hmm	472	CM_cdhit-1_transcript_331237_1	279	3.9e-51	1	226	7	241	0.4766949152542373
GH144.hmm	404	CM_cdhit-1_transcript_347124_1	196	7.9e-68	3	156	37	196	0.3787128712871287
GT2.hmm	170	CM_cdhit-1_transcript_365776_2	369	7.7e-26	1	133	43	186	0.7764705882352941
GH3.hmm	216	CM_cdhit-1_transcript_9924_2	746	6.9e-65	2	215	75	296	0.9861111111111112
GH5_4.hmm	276	CM_cdhit-1_transcript_9924_3	487	1.5e-103	2	275	189	485	0.9891304347826086
